Date,Crop,Location,Supply_Tonnes,Transport_Cost_Per_Km,Fuel_Price,Market_Price
2024-02-13 12:22:17.897066,Rice,Bangalore,120.98243204292328,19.30782755556243,93.54259893974252,47.31
2024-02-13 12:22:17.897066,Rice,Chennai,127.28788616840936,12.9136157237938,103.32931129319239,47.07
2024-02-13 12:22:17.897066,Rice,Kolkata,82.974264412347,19.489273121645645,103.64955621640496,51.62
2024-02-13 12:22:17.897066,Tomato,Delhi,138.15854005661683,19.171170799970326,101.67161068903118,58.25
2024-02-13 12:22:17.897066,Tomato,Delhi,92.7389479098897,10.943528912675283,92.19180576833554,59.43
2024-02-13 12:22:17.897066,Tomato,Delhi,129.33478039204485,13.384652930700412,105.75353722603207,56.04
2024-02-13 12:22:17.897066,Tomato,Kolkata,82.20085560104353,19.750120096318035,103.85703693864876,59.52
2024-02-13 12:22:17.897066,Potato,Delhi,126.165542342245,11.424329219599231,93.8230983986528,49.91
2024-02-13 12:22:17.897066,Tomato,Mumbai,92.40966800953518,13.539280161071801,108.46396373194165,59.43
2024-02-13 12:22:17.897066,Onion,Bangalore,83.57700240581745,15.795451830703973,108.72359022592343,66.2
2024-02-13 12:22:17.897066,Onion,Delhi,78.88046690950073,18.152681342726737,103.95192461309607,64.84
2024-02-13 12:22:17.897066,Potato,Bangalore,116.99006789098814,13.672346015110582,95.5710827550059,48.33
2024-02-13 12:22:17.897066,Rice,Chennai,47.71111205879829,13.677284724765805,98.17834074411242,56.6
2024-02-14 12:22:17.897066,Wheat,Bangalore,122.92104375512554,18.27333843996461,103.43572698442874,43.3
2024-02-14 12:22:17.897066,Potato,Chennai,85.87710766434012,10.030224846418447,99.82811968947905,49.81
2024-02-14 12:22:17.897066,Wheat,Kolkata,121.8887970304516,13.550464394152291,106.38742563244783,50.81
2024-02-14 12:22:17.897066,Tomato,Chennai,118.10605181955616,14.477857941100133,93.56862854995319,55.58
2024-02-14 12:22:17.897066,Tomato,Bangalore,28.039931870038316,12.537863588415124,91.790991653208,83.68
2024-02-14 12:22:17.897066,Potato,Mumbai,78.5726713428518,10.691201512317575,90.84867738535787,49.77
2024-02-14 12:22:17.897066,Tomato,Chennai,102.79334155117232,16.630051602261254,101.61504791740524,61.82
